"Date","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Norway","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Switzerland","United Kingdom"
2020-01-01,-0.422222222222222,2.1,2.325,4.16666666666667,12.2,-0.472727272727273,5.06666666666667,2.85,-2.33928571428571,4.66944444444444,0.0826086956521739,9.42,-0.0166666666666667,7.08888888888889,6.60769230769231,4.15,2.30909090909091,0.2,10.5,1.14,4.56666666666667,1.64,13.0066666666667,-0.314285714285714,-0.02,-1.35,7.24078947368421,2.84,0.388888888888889,6
2020-01-02,-1.17777777777778,4,0.25,3.23333333333333,12.8,-1.17272727272727,4.33333333333333,4.69285714285714,2.38928571428571,6.19166666666667,-0.3,7.89,-2.08333333333333,9.42222222222222,6.71282051282051,5.2,3.3,0.5,10.8,3.66,6.03333333333333,0.07,12.0333333333333,-1.57142857142857,-3.46,-1,7.66973684210526,4.34,-0.677777777777778,8.37727272727273
2020-01-03,-1.45555555555556,8,0,3.7,11.6,-0.218181818181818,5.56666666666667,4.34285714285714,2.6,8.0125,5.03913043478261,7.51,-2.88333333333333,6.42222222222222,6.98205128205128,4.825,1.50909090909091,5.8,10.7,7.68,2.58333333333333,1.22,13.64,-0.892857142857143,-5.06,-0.45,8.06052631578947,3.21,1.75555555555556,6.40909090909091
2020-01-04,0.366666666666667,4.7,3.7,4.83333333333333,12.1,1.43636363636364,4.46666666666667,2.52857142857143,-1.50357142857143,6.81111111111111,3.86521739130435,9.05,-1,7.47777777777778,7.85897435897436,3.575,2.34545454545455,3.2,13.1,6.32,0.783333333333333,3.3,13.5666666666667,-0.885714285714286,-0.3,-2.5,8.16578947368421,0.33,2.34444444444444,6.53181818181818
2020-01-05,-0.788888888888889,6.1,2.9,5,13.4,-1.17272727272727,3.76666666666667,-0.142857142857143,-6.17142857142857,5.49861111111111,3.00869565217391,9.84,1.6,9.15555555555556,7.3974358974359,1.375,-0.127272727272727,3.9,14.1,6.48,1.5,0.47,12.9266666666667,-0.357142857142857,-0.26,-4.1,7.63947368421053,-1.27,0.166666666666667,8.35
2020-01-06,-1.67777777777778,5.6,0.325,1.76666666666667,15.8,-2.05454545454545,5.9,2.35,-2.11785714285714,4.73888888888889,2.35217391304348,7.7,-1.2,8.4,5.18461538461538,3.75,0.7,0.6,9.6,6.06,4.41666666666667,0.56,12.9,-2.65714285714286,-4.2,-3.2,7.18815789473684,2.58,-0.0444444444444444,7.89545454545455
2020-01-07,-1.76666666666667,6.7,-1.6,1.83333333333333,12.7,-1.32727272727273,5.5,3.87857142857143,1.75,7.64305555555556,3.80434782608696,6.75,-2.55,10.7222222222222,5.04615384615385,4.475,1.6,3.9,9.1,6.82,5.43333333333333,0.9,13.14,-5.38571428571429,-5.54,-3.05,7.60789473684211,3.21,0.522222222222222,9.23181818181818
2020-01-08,0.388888888888889,10.6,-2.5,3.46666666666667,11.3,1.25454545454545,6.53333333333333,4.62142857142857,3.13928571428571,9.51944444444444,6.1,6.5,-2.1,6.82222222222222,6.34358974358974,5.075,2.34545454545455,5.8,11.1,9.68,5.1,3.05,13.0666666666667,-5.06428571428571,-3.96,-1.6,8.61710526315789,4.45,1.37777777777778,7.37272727272727
2020-01-09,2.67777777777778,11.4,-0.2,3.36666666666667,12.3,3.40909090909091,5.63333333333333,3.63571428571429,0.510714285714286,9.575,9.16521739130435,6.29,-0.833333333333333,3.63333333333333,6.94102564102564,4.75,3.42727272727273,8.7,11.1,10.88,2.61666666666667,5.37,13.5066666666667,-2.78571428571429,-0.7,1.75,9.24078947368421,1.74,3.17777777777778,5.62272727272727
2020-01-10,0.466666666666667,7.1,1.85,6.33333333333333,11.8,3.70909090909091,5.63333333333333,1.46428571428571,-3.55714285714286,7.90138888888889,7.69565217391304,7.59,0.2,6.48888888888889,7.0974358974359,3.7,5.20909090909091,6.1,10.9,7,0.95,6.63,13.52,1.45714285714286,-1.08,0.55,8.79605263157895,-0.95,2.76666666666667,4.96363636363636
2020-01-11,0.3,5.2,3.35,4.83333333333333,10.8,1.02727272727273,5.1,-0.471428571428571,-2.54642857142857,5.7875,2.93913043478261,7.27,-0.366666666666667,9.51111111111111,6.77692307692308,1.775,2.72727272727273,2.6,12.1,5.76,4.06666666666667,4.48,11.6266666666667,0.921428571428571,-0.02,-3.35,6.73947368421053,0.66,1.02222222222222,8.64545454545454
2020-01-12,-0.766666666666667,6.8,3.575,4.43333333333333,12.1,0.127272727272727,5.63333333333333,4.89285714285714,1.12857142857143,5.76527777777778,2.73478260869565,10.07,-1.28333333333333,5.82222222222222,7.07692307692308,5.325,3.01818181818182,2.1,11.7,7.1,3.08333333333333,2.92,11.1933333333333,1.23571428571429,-1.54,0.95,6.53421052631579,2.66,0.9,6.13181818181818
2020-01-13,-1.24444444444444,7.5,1.25,2.26666666666667,13.1,0.8,5.16666666666667,2.78571428571429,-2.75,6.61666666666667,5.02608695652174,10.4,-2.75,6.88888888888889,6.68974358974359,4.325,3,4.7,12.2,7.14,2.73333333333333,4.11,11.7,0.0357142857142857,-1.76,-1,6.78552631578947,0.11,0.177777777777778,6.49090909090909
