0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.9999751,0.92339885,0.8579756,0.8060715,0.76715565,0.735506,0.7060848,0.6740806,0.63574797,0.5910828,0.5442358,0.4988501,0.45623755,0.41717386,0.3813248,0.34788394,0.31644568,0.28696218,0.2593167,0.2334619,0.20938008,0.18720914,0.16750675,0.15075299,0.13702653,0.12612283,0.11779399,0.111567125,0.10700418,0.10386558,0.10199999,0.10097975,0.10033554,0.099553816,0.09814158,0.095829375,0.09287012,0.08994512,0.08777514,0.086750254,0.086886786,0.08811742,0.09018638,0.092864186,0.096251264,0.1005755,0.105676584,0.11110798,0.1161785,0.120022,0.12211972,0.12277801,0.12263893,0.12215245,0.12172227,0.12182575,0.12295301,0.12554556,0.1303285,0.13782588
0.9999549,0.73729575,0.5769794,0.47787532,0.4142268,0.37129256,0.34067565,0.3188322,0.30413672,0.29460576,0.2881626,0.2830399,0.27792028,0.2724938,0.267159,0.26166198,0.2551231,0.24619576,0.23388451,0.21792735,0.20008177,0.18297216,0.16848311,0.15711193,0.1487783,0.14289193,0.13864186,0.1354738,0.13317454,0.131523,0.13021486,0.12883136,0.12712768,0.12519407,0.1233894,0.12222924,0.12188594,0.12174909,0.121355884,0.1202893,0.11807539,0.11460213,0.11051255,0.10628478,0.10219017,0.098368295,0.094982095,0.092111684,0.089802764,0.088162795,0.08723396,0.087051585,0.08766229,0.08909669,0.09139833,0.09474864,0.09928185,0.104893684,0.11080545,0.11566987
0.99995613,0.83651376,0.72434705,0.63882446,0.56496114,0.5023834,0.4508513,0.40758747,0.3734388,0.34771448,0.3277813,0.31157544,0.2989569,0.28943834,0.28148752,0.27433744,0.2670673,0.2588985,0.25049606,0.24367577,0.23987246,0.24006812,0.2446241,0.25337607,0.26629123,0.28296226,0.30330846,0.3261482,0.34827062,0.36539355,0.37404975,0.37293485,0.36440754,0.35321856,0.34221488,0.33278248,0.32520697,0.31929663,0.3151367,0.31370026,0.31401885,0.31466958,0.31441775,0.31179786,0.30606613,0.2992914,0.29351947,0.28948918,0.28668606,0.2838215,0.27941132,0.27276903,0.26399502,0.25448695,0.24636781,0.24114618,0.23855942,0.23766263,0.23767504,0.2374345
0.6118723,0.50763,0.44887972,0.42786086,0.43934336,0.4821044,0.5556566,0.65478146,0.7655595,0.8698137,0.94897646,0.9917156,0.9999293,0.9889836,0.9698786,0.9436325,0.90682614,0.855756,0.7868726,0.7044672,0.61757076,0.53484964,0.46239355,0.40311754,0.35580206,0.31886584,0.29045328,0.268357,0.25105554,0.2379213,0.22853683,0.22222486,0.21872346,0.21783507,0.21888095,0.22019707,0.22036803,0.21816261,0.21278535,0.20449908,0.19411324,0.18278195,0.17164642,0.16162908,0.15313663,0.14688447,0.14299886,0.14111272,0.14087486,0.1413348,0.14160302,0.14197415,0.14334294,0.14637686,0.15188943,0.16053222,0.17189315,0.18482628,0.19803615,0.21113366
0.9999606,0.7532337,0.59734637,0.5024054,0.44582564,0.41376597,0.39754853,0.39244252,0.3959272,0.406364,0.42085817,0.43526018,0.4436394,0.44240093,0.43001032,0.40746927,0.3789751,0.34931833,0.32159925,0.2982356,0.27958655,0.26427528,0.25052574,0.23701161,0.22337091,0.21016455,0.19764245,0.18564393,0.17427675,0.16393444,0.15509051,0.14863186,0.1456761,0.14702213,0.15247831,0.1610587,0.17159176,0.18269423,0.19279557,0.20122495,0.20818762,0.21374033,0.21755323,0.21916339,0.2180161,0.21409321,0.20773697,0.20027174,0.19350164,0.18809655,0.18423077,0.18244569,0.18338189,0.18653642,0.19100632,0.19670294,0.20331973,0.20946342,0.21404149,0.2172048
0.99996275,0.94537276,0.90073425,0.8577726,0.8084331,0.75101864,0.6886111,0.62084174,0.5538901,0.49127752,0.43563145,0.3882311,0.3499852,0.32017967,0.29715762,0.2778753,0.25980684,0.24142519,0.22292382,0.20578474,0.19107637,0.17894937,0.16924767,0.16124736,0.15433337,0.14839724,0.14354798,0.13929863,0.13528998,0.13107345,0.12669504,0.12279546,0.12047262,0.12055152,0.1238134,0.13017003,0.1382798,0.14632611,0.15303768,0.1570799,0.15733679,0.15417443,0.14884742,0.14237621,0.13575363,0.13029389,0.12691526,0.126,0.12732805,0.13018434,0.13370202,0.13705246,0.13990366,0.14243387,0.14521505,0.1483228,0.15141521,0.15406995,0.1563939,0.15907234
0.9999675,0.8575265,0.6921142,0.52538407,0.3802712,0.27077907,0.1985455,0.15512812,0.13098241,0.11918052,0.11506513,0.115303695,0.118230045,0.12335307,0.13059862,0.13977651,0.15006241,0.16028705,0.16894694,0.17476802,0.17721099,0.17658377,0.17321005,0.16726424,0.15906765,0.14899985,0.13769591,0.12605718,0.11492769,0.104843855,0.09620871,0.089253485,0.08410306,0.080827996,0.07938114,0.079608954,0.081285894,0.083933875,0.08702928,0.09011577,0.09291171,0.09534414,0.09752333,0.0994468,0.10094285,0.101796426,0.10188892,0.10117384,0.09984012,0.09846743,0.0974443,0.09677051,0.096362606,0.09608112,0.09559415,0.09471393,0.09342463,0.09165756,0.08939914,0.08672292
0.99996483,0.77334726,0.638519,0.56730294,0.5382332,0.5369647,0.55271727,0.5742621,0.5906042,0.59329224,0.58064276,0.5551607,0.5229374,0.49116036,0.46402076,0.43970162,0.41514763,0.38878524,0.36240983,0.33903512,0.32231122,0.3135249,0.31215763,0.31614965,0.32266968,0.32988378,0.33878255,0.34743708,0.35268614,0.3527739,0.34548336,0.32963845,0.30911955,0.29005796,0.27616394,0.26838684,0.26655406,0.26883984,0.27155086,0.27158135,0.2691858,0.26491997,0.2592453,0.25339806,0.24882133,0.24729507,0.25116742,0.26372993,0.28588814,0.31721237,0.35500115,0.39308724,0.4245564,0.44699502,0.46251035,0.47377342,0.48305324,0.49121788,0.49816293,0.5028311
0.99995434,0.8528754,0.74356335,0.6667892,0.61235577,0.56950086,0.5323808,0.49953762,0.47071868,0.44635117,0.42723206,0.41319457,0.40342614,0.39724964,0.3944644,0.3950674,0.3983089,0.40212128,0.40424728,0.40253803,0.39611652,0.3863033,0.3755132,0.3647611,0.35424814,0.34368455,0.333205,0.32370427,0.31730464,0.31518465,0.317079,0.32086718,0.3239047,0.32418644,0.32158628,0.3178377,0.31568015,0.31625882,0.31870458,0.32212746,0.3256573,0.32829037,0.33038008,0.33313274,0.33649364,0.33937857,0.3411166,0.34130177,0.34003884,0.33800712,0.33607417,0.33340564,0.3281312,0.31911322,0.30654597,0.29161313,0.27707514,0.2659976,0.25927332,0.2555068
0.99995244,0.81129986,0.66364354,0.5472992,0.45529017,0.38379285,0.32960838,0.2896074,0.26122552,0.24271321,0.23405512,0.23551026,0.24379188,0.2557559,0.26758212,0.2744872,0.27285582,0.2649512,0.2528775,0.23830809,0.22273424,0.20668815,0.19041575,0.17447129,0.15938067,0.14542468,0.13269453,0.12146154,0.11237047,0.10598783,0.10247128,0.102504,0.10675856,0.11477796,0.12555696,0.1380295,0.15039665,0.16021305,0.1647847,0.1613879,0.15048026,0.13392647,0.11507934,0.09753647,0.08418847,0.075184084,0.070191875,0.0682436,0.068566255,0.070263036,0.07258685,0.07484866,0.07678716,0.07815373,0.07832168,0.077270746,0.07561449,0.074061744,0.073348776,0.074248
