0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.9999604,0.95066047,0.90470994,0.86370933,0.8305561,0.8060617,0.7898078,0.7755733,0.75657874,0.7297964,0.6967434,0.6611813,0.6261935,0.59368,0.563328,0.5341014,0.5054421,0.47751036,0.45037195,0.4239687,0.39817017,0.37294337,0.34846044,0.32518643,0.30424118,0.28672743,0.27301762,0.26241216,0.25413004,0.24774927,0.24329606,0.24076512,0.23993729,0.2398474,0.2393519,0.23748189,0.23401645,0.22917782,0.22375934,0.21937478,0.2175334,0.21860555,0.2213943,0.22463991,0.22807117,0.23250507,0.23879015,0.24690348,0.2556383,0.2632794,0.26857966,0.27120954,0.27137753,0.2701634,0.26902333,0.26865485,0.2688806,0.26958096,0.27193666,0.27747592
0.9999725,0.8288517,0.7190661,0.64800394,0.59880036,0.5618095,0.53338236,0.51262844,0.4987819,0.49050754,0.4858501,0.48209146,0.47708926,0.47055548,0.46386296,0.45862055,0.4539245,0.44671634,0.4336771,0.41466945,0.3918089,0.36895812,0.34953403,0.33534515,0.3256793,0.31865424,0.31298426,0.3085114,0.30542618,0.30360115,0.30236214,0.30090454,0.2985196,0.29528823,0.29196316,0.28965765,0.28937718,0.29069802,0.29142845,0.2899417,0.28592637,0.28070682,0.27457905,0.2677987,0.26104313,0.25501022,0.2499081,0.2454244,0.24142902,0.23835143,0.23673771,0.23670788,0.23793668,0.2400874,0.24346808,0.2485843,0.25586691,0.26516014,0.27556032,0.28475043
0.99996203,0.8815436,0.7980646,0.7355277,0.6844321,0.6388297,0.5953752,0.55351377,0.519102,0.4937814,0.47486663,0.45917985,0.44513786,0.4331112,0.4245449,0.4193211,0.41484106,0.4084832,0.3996384,0.39047858,0.38288254,0.3785092,0.37846702,0.3830044,0.39200085,0.40443954,0.41985708,0.43778417,0.4584851,0.48011774,0.49778813,0.5058022,0.50208515,0.49095812,0.47882572,0.47006968,0.4641415,0.45851588,0.45202738,0.44676295,0.44514868,0.44772363,0.45094162,0.45136228,0.44778985,0.4420054,0.43548748,0.42925248,0.42490742,0.4235421,0.42339468,0.42110422,0.41431442,0.40428573,0.39396057,0.3856316,0.3803506,0.37846014,0.37898743,0.3800449
0.7255598,0.64241827,0.59301674,0.57601404,0.58881116,0.62795734,0.6899684,0.77014244,0.858471,0.9350055,0.9829926,0.99997383,0.9976538,0.9868916,0.97442585,0.9613506,0.943678,0.91478086,0.87077296,0.81255764,0.7468327,0.68103075,0.6218017,0.5715643,0.53040767,0.496835,0.4696521,0.4480337,0.43110648,0.41762537,0.40699092,0.399977,0.39659667,0.39633435,0.39808267,0.40088004,0.40268475,0.4012209,0.3950458,0.38469505,0.3720232,0.3583047,0.34465706,0.33159062,0.3203256,0.31169218,0.30662164,0.30493593,0.3055603,0.30722466,0.30806935,0.30769083,0.30731884,0.3099048,0.3175848,0.32958704,0.34459072,0.3608927,0.3771091,0.3917819
0.9999657,0.8358433,0.72390956,0.65415305,0.6142384,0.5918733,0.57897884,0.57283556,0.5758387,0.58777237,0.60501516,0.6209203,0.62976426,0.62868285,0.617884,0.5977446,0.57032454,0.5395061,0.5107401,0.48770234,0.47042838,0.4565065,0.44337222,0.42906556,0.413465,0.3976436,0.3829866,0.36974922,0.35661918,0.34288153,0.32984313,0.31997022,0.31535456,0.31691304,0.32505512,0.3383898,0.35376722,0.36806393,0.3797224,0.3891155,0.39683577,0.40313932,0.40805596,0.41054106,0.40963605,0.40478006,0.39673325,0.38678655,0.37713173,0.3702415,0.36651447,0.3649603,0.3646906,0.36768225,0.37487817,0.38371497,0.39147425,0.39750552,0.4032142,0.40792447
0.9999695,0.9689996,0.9428263,0.91961575,0.8914076,0.8551239,0.80794066,0.7568951,0.70622987,0.6574354,0.61008006,0.5669229,0.5305301,0.5031272,0.48321247,0.46697694,0.4501299,0.43050864,0.40878034,0.38767016,0.36989376,0.35627237,0.34560192,0.33621743,0.3271664,0.3190269,0.31239605,0.3076806,0.30347732,0.29828173,0.29131454,0.28414154,0.27927512,0.2789425,0.28382668,0.29373795,0.30702147,0.32035312,0.32966936,0.33369505,0.33368072,0.33013096,0.3227393,0.31239772,0.3019711,0.293818,0.288986,0.28769726,0.28995714,0.29510182,0.30139026,0.30665496,0.30967328,0.31160834,0.3143778,0.31934386,0.32511207,0.32920334,0.3306126,0.33148786
0.9999638,0.923071,0.81840175,0.689296,0.55649275,0.44343993,0.36114255,0.30928415,0.28119814,0.26919568,0.26618966,0.26788193,0.27227008,0.2789634,0.28859356,0.30150825,0.31671077,0.3312344,0.34239015,0.34883332,0.3511607,0.3501657,0.34622356,0.3393561,0.32927305,0.3163484,0.3012436,0.28504202,0.2689541,0.25400013,0.2408953,0.22993557,0.22138622,0.21576817,0.21341278,0.21426831,0.21766657,0.22265762,0.22815971,0.23332097,0.23755933,0.24096423,0.24394572,0.2469295,0.24974681,0.2515238,0.25153694,0.24995062,0.24750872,0.24496126,0.24309136,0.24227822,0.24227934,0.24223116,0.24154745,0.24014919,0.23814556,0.23559287,0.23226763,0.22800449
0.99996376,0.8483837,0.75384575,0.70522314,0.6896666,0.6959793,0.7134791,0.73449355,0.752462,0.7585939,0.74710655,0.7214435,0.6904529,0.6632712,0.6417277,0.62449557,0.6066519,0.5836369,0.55576766,0.5289594,0.51003605,0.5029604,0.50494283,0.51173836,0.5188758,0.52493966,0.5315473,0.54111624,0.5510425,0.554765,0.54664123,0.5285791,0.50577414,0.48287085,0.46578115,0.4579792,0.45894226,0.46480313,0.4700765,0.471283,0.46662673,0.45954174,0.4534613,0.44873127,0.4436489,0.43827665,0.438364,0.4494744,0.47562248,0.5128895,0.5535265,0.59007674,0.6180176,0.63657624,0.6458018,0.651289,0.6584862,0.6678766,0.67609257,0.6790522
0.99995357,0.90191656,0.83190304,0.783386,0.7475016,0.71796834,0.69079816,0.66422623,0.6390732,0.6178606,0.6019656,0.590826,0.5830726,0.577633,0.57451934,0.57469815,0.57860476,0.5846484,0.58886695,0.5878911,0.5808229,0.5699875,0.55871975,0.54935616,0.5413791,0.5326502,0.5216984,0.5104068,0.5020122,0.4998471,0.5038654,0.5110425,0.5161588,0.5159222,0.51107186,0.50501466,0.5014899,0.5026349,0.50739455,0.51248485,0.51534754,0.5164114,0.5177712,0.52041155,0.52426684,0.528243,0.5304945,0.53019774,0.52786523,0.52530414,0.5234449,0.5223862,0.519872,0.51245874,0.49880904,0.4812905,0.46426398,0.4514011,0.4446866,0.44350368
0.9999562,0.8854265,0.7877053,0.70026267,0.6238166,0.5611633,0.5120551,0.47439447,0.44543612,0.4245994,0.41322732,0.41383827,0.42770073,0.44742298,0.46397528,0.4695107,0.4659552,0.45631024,0.44303915,0.42746523,0.41008326,0.39173263,0.3729871,0.35402846,0.33486775,0.3162505,0.29920387,0.28370553,0.2698286,0.2587827,0.25262824,0.25245136,0.2588224,0.27181843,0.28989056,0.30947343,0.3264284,0.33917433,0.34687963,0.34611782,0.3321269,0.30663463,0.27569434,0.2473796,0.22437374,0.2088096,0.2003583,0.19842698,0.2005495,0.20464417,0.20903967,0.21312647,0.2166233,0.21918523,0.22035179,0.21875103,0.21447922,0.20959488,0.20727235,0.20917556
